,SegmentDescription,Answer,Count,Percentage
1401,What's your leaning? In-between,Instagram,213,0.317
1402,What's your leaning? In-between,Snapchat,22,0.033
1403,What's your leaning? In-between,Twitter,36,0.054
1404,What's your leaning? In-between,None,269,0.4
1405,Are you? Muslim,Facebook,3,0.143
1406,Are you? Muslim,Instagram,5,0.238
1407,Are you? Muslim,Snapchat,3,0.143
1408,Are you? Muslim,Twitter,2,0.095
1409,Are you? Muslim,None,8,0.381
1410,Are you? Christian,Facebook,231,0.208
1411,Are you? Christian,Instagram,387,0.348
1412,Are you? Christian,Snapchat,29,0.026
1413,Are you? Christian,Twitter,85,0.076
1414,Are you? Christian,None,381,0.342
1415,Graduation Year 2017,Facebook,61,0.274
1416,Graduation Year 2017,Instagram,62,0.278
1417,Graduation Year 2017,Snapchat,8,0.036
1418,Graduation Year 2017,Twitter,5,0.022
1419,Graduation Year 2017,None,87,0.39
1420,Graduation Year 2018,Facebook,88,0.244
1421,Graduation Year 2018,Instagram,114,0.317
1422,Graduation Year 2018,Snapchat,12,0.033
1423,Graduation Year 2018,Twitter,17,0.047
1424,Graduation Year 2018,None,129,0.358
1425,What's your GPA? Above 4.0 😏,Facebook,19,0.131
1426,What's your GPA? Above 4.0 😏,Instagram,55,0.379
1427,What's your GPA? Above 4.0 😏,Snapchat,5,0.034
1428,What's your GPA? Above 4.0 😏,Twitter,10,0.069
1429,What's your GPA? Above 4.0 😏,None,56,0.386
1430,Graduation Year 2019,Facebook,221,0.262
1431,Graduation Year 2019,Instagram,291,0.345
1432,Graduation Year 2019,Snapchat,24,0.028
1433,Graduation Year 2019,Twitter,46,0.055
1434,Graduation Year 2019,None,262,0.31
1435,Graduation Year 2020,Facebook,74,0.155
1436,Graduation Year 2020,Instagram,150,0.314
1437,Graduation Year 2020,Snapchat,15,0.031
1438,Graduation Year 2020,Twitter,47,0.099
1439,Graduation Year 2020,None,191,0.4
1440,closely identify as? White,Facebook,352,0.224
1441,closely identify as? White,Instagram,498,0.317
1442,closely identify as? White,Snapchat,47,0.03
1443,closely identify as? White,Twitter,102,0.065
1444,closely identify as? White,None,573,0.365
1445,Sexual orientation? Straight,Facebook,215,0.18
1446,Sexual orientation? Straight,Instagram,354,0.297
1447,Sexual orientation? Straight,Snapchat,44,0.037
1448,Sexual orientation? Straight,Twitter,88,0.074
1449,Sexual orientation? Straight,None,492,0.412
